,speed,accuracy,time,language
1,8250,100.0,11 April 2022,English
2,5500,99.64,11 April 2022,English
3,5400,100.0,11 April 2022,English
4,3540,100.0,11 April 2022,English
5,2740,100.0,11 April 2022,English
6,580,100.0,10 April 2022,Russian
7,485,98.46,11 April 2022,English
8,440,100.0,10 April 2022,Russian
16,401,96.1,11 April 2022,Russian
9,381,96.63,11 April 2022,English
10,351,94.44,11 April 2022,English
11,351,97.27,11 April 2022,English
12,343,100.0,10 April 2022,Russian
13,304,100.0,10 April 2022,Russian
14,279,98.79,10 April 2022,Russian
15,182,100.0,10 April 2022,English
